"fullname","id","likes","replies","retweets","text","timestamp","user"
"UToronto Basketball","824315742317219840","1","0","3","Start the conversation today... Language Matters #bellletstalk #selfiegamestrong @varsity_blues… https://www.instagram.com/p/BPslQt3BC2M/ ","2017-01-25T17:59:22","Blues_Hoops"
"Kátia Baptista","824315893270183936","0","0","0","Pick up those phone, T.o  • Take a selfie  • Help #endthestigma  • #bellletstalk  •• #love… https://www.instagram.com/p/BPslVHFB57x/ ","2017-01-25T17:59:58","katialbaptista"
"Deborah Peniuk","824316743527104531","0","0","0","It's #BellLetsTalk Day and I have to give thanks to the programs and people who have helped me… http://ln.is/www.instagram.com/p/10tY3uq …","2017-01-25T18:03:21","TraveliciousDee"
"Steph V","824319450254082054","0","0","0","A little too quite today. Time to stand up and talk about it! #bellletstalk #bellletstalkday… https://www.instagram.com/p/BPsm8t1jFGs/ ","2017-01-25T18:14:06","StephV028"
"Christina Crowe","824319651966578688","0","0","0","Me and my baby girl. She always lifts my spirits.  #BellLetsTalk @ Toronto, Ontario https://www.instagram.com/p/BPsnChGjyfX/ ","2017-01-25T18:14:54","CNDCounsellor"
"Dylan Moscovitch","824319687110471680","38","0","118","It's @bell_letstalk Day. For every #BellLetsTalk tweet, Bell will donate 5¢ to mental health.… https://www.instagram.com/p/BPsnDh2B8cG/ ","2017-01-25T18:15:03","DylanMoscovitch"
"Toronto Real Estate","824319784363950088","0","0","0","Spread awareness for mental health #bellletstalk #bellletstalkday #mentalhealth #EER #babyemilia… https://www.instagram.com/p/BPsnFgpjYks/ ","2017-01-25T18:15:26","sarah_furlano"
"Michael Hyatt","824321113169809408","0","0","0","#bellletstalk #killthestigma #BellLetsTalkDay2017 No one needs to feel like there alone in this… https://www.instagram.com/p/BPsntHADb6D/ ","2017-01-25T18:20:43","michaelkhyatt"
"Sue","824321458704941056","0","0","0","Don't keep it to yourself, talk about it to someone #bellletstalk day raising awareness about… https://www.instagram.com/p/BPsn3KogGCD/ ","2017-01-25T18:22:05","suesmurph"
"Jerry NightNever","824327493008158722","1","0","1","#zamboni #hockeyrink #highpark #ontario #canada #bellletstalk  @ High Park https://www.instagram.com/p/BPsqmiOl6-m/ ","2017-01-25T18:46:04","Jerrynightnever"
